"Season","Week","DateTime","Away","Away.Pts","Away.Yds","Away.TOs","Home","Home.Pts","Home.Yds","Home.TOs","Home.Spread","Game.Spread","Game.Total"
2000,10,2000-11-05 13:02:00,"TB",27,267,2,"ATL",14,283,4,13,13,41
2000,10,2000-11-05 13:03:00,"BAL",27,378,0,"CIN",7,174,1,20,20,34
2000,10,2000-11-05 13:03:00,"DAL",13,295,2,"PHI",16,357,2,-3,3,29
2000,10,2000-11-05 13:03:00,"NYG",24,370,1,"CLE",3,193,1,21,21,27
2000,10,2000-11-05 13:03:00,"PIT",7,167,3,"TEN",9,364,1,-2,2,16
2000,10,2000-11-05 13:15:00,"KC",31,513,3,"LV",49,473,0,-18,18,80
2000,10,2000-11-05 16:05:00,"WAS",15,422,3,"ARI",16,178,2,-1,1,31
2000,10,2000-11-05 16:15:00,"DEN",30,447,1,"NYJ",23,381,3,7,7,53
2000,10,2000-11-05 16:15:00,"LAC",15,398,3,"SEA",17,128,1,-2,2,32
2000,10,2000-11-05 20:35:00,"CAR",27,268,2,"LAR",24,426,2,3,3,51
2000,10,2000-11-06 21:09:00,"MIN",20,407,5,"GB",26,298,0,-6,6,46
2000,11,2000-11-12 13:00:00,"ARI",14,249,2,"MIN",31,460,2,-17,17,45
2000,11,2000-11-12 13:00:00,"CIN",6,195,2,"DAL",23,405,1,-17,17,29
2000,11,2000-11-12 13:01:00,"ATL",10,218,2,"DET",13,222,1,-3,3,23
2000,11,2000-11-12 13:01:00,"PHI",26,290,1,"PIT",23,322,1,3,3,49
2000,11,2000-11-12 13:02:00,"CHI",3,234,4,"BUF",20,299,1,-17,17,23
2000,11,2000-11-12 13:02:00,"NO",20,322,2,"CAR",10,311,5,10,10,30
2000,11,2000-11-12 13:02:00,"SEA",28,326,0,"JAC",21,437,1,7,7,49
2000,11,2000-11-12 13:03:00,"BAL",24,361,1,"TEN",23,286,2,1,1,47
2000,11,2000-11-12 13:03:00,"NE",11,286,4,"CLE",19,272,0,-8,8,30
2000,11,2000-11-12 16:00:00,"KC",7,294,1,"SF",21,389,0,-14,14,28
2000,11,2000-11-12 16:05:00,"MIA",17,244,0,"LAC",7,238,4,10,10,24
2000,11,2000-11-12 16:15:00,"GB",15,302,1,"TB",20,272,1,-5,5,35
2000,11,2000-11-12 16:15:00,"LAR",38,397,1,"NYG",24,348,3,14,14,62
2000,11,2000-11-12 20:35:00,"NYJ",15,367,2,"IND",23,358,1,-8,8,38
2000,11,2000-11-13 21:09:00,"LV",24,411,3,"DEN",27,329,2,-3,3,51
2000,12,2000-11-19 13:00:00,"BUF",21,299,0,"KC",17,378,2,4,4,38
2000,12,2000-11-19 13:00:00,"CAR",17,330,3,"MIN",31,446,2,-14,14,48
2000,12,2000-11-19 13:02:00,"ARI",9,210,1,"PHI",34,338,2,-25,25,43
2000,12,2000-11-19 13:02:00,"CIN",13,365,2,"NE",16,291,1,-3,3,29
2000,12,2000-11-19 13:02:00,"IND",24,338,2,"GB",26,432,1,-2,2,50
2000,12,2000-11-19 13:02:00,"LV",31,293,1,"NO",22,333,1,9,9,53
2000,12,2000-11-19 13:03:00,"CLE",10,125,1,"TEN",24,374,7,-14,14,34
2000,12,2000-11-19 13:03:00,"DET",31,314,2,"NYG",21,373,4,10,10,52
2000,12,2000-11-19 13:04:00,"TB",10,225,3,"CHI",13,243,1,-3,3,23
2000,12,2000-11-19 16:05:00,"NYJ",20,239,2,"MIA",3,200,4,17,17,23
2000,12,2000-11-19 16:05:00,"LAC",37,385,3,"DEN",38,536,5,-1,1,75
2000,12,2000-11-19 16:15:00,"DAL",0,192,3,"BAL",27,479,2,-27,27,27
2000,12,2000-11-19 16:16:00,"ATL",6,211,1,"SF",16,337,1,-10,10,22
2000,12,2000-11-19 20:35:00,"JAC",34,417,2,"PIT",24,302,5,10,10,58
2000,12,2000-11-20 21:08:00,"WAS",33,400,1,"LAR",20,394,3,13,13,53
2000,13,2000-11-23 12:36:00,"NE",9,215,2,"DET",34,299,1,-25,25,43
2000,13,2000-11-23 16:08:00,"MIN",27,360,0,"DAL",15,404,2,12,12,42
2000,13,2000-11-26 13:00:00,"BUF",17,433,2,"TB",31,180,0,-14,14,48
2000,13,2000-11-26 13:01:00,"CLE",7,112,3,"BAL",44,461,2,-37,37,51
2000,13,2000-11-26 13:01:00,"PHI",23,289,2,"WAS",20,326,2,3,3,43
2000,13,2000-11-26 13:02:00,"CHI",10,233,3,"NYJ",17,277,1,-7,7,27
2000,13,2000-11-26 13:02:00,"NO",31,332,2,"LAR",24,279,4,7,7,55
2000,13,2000-11-26 13:02:00,"PIT",48,372,0,"CIN",28,309,3,20,20,76
2000,13,2000-11-26 16:05:00,"ATL",14,181,2,"LV",41,492,1,-27,27,55
2000,13,2000-11-26 16:15:00,"KC",16,161,1,"LAC",17,201,5,-1,1,33
2000,13,2000-11-26 16:15:00,"MIA",17,253,0,"IND",14,353,1,3,3,31
2000,13,2000-11-26 16:15:00,"TEN",13,334,0,"JAC",16,334,2,-3,3,29
2000,13,2000-11-26 16:16:00,"DEN",38,538,5,"SEA",31,354,3,7,7,69
2000,13,2000-11-26 20:35:00,"NYG",31,371,1,"ARI",7,267,4,24,24,38
2000,13,2000-11-27 21:12:00,"GB",14,326,5,"CAR",31,356,2,-17,17,45
2000,14,2000-11-30 20:35:00,"DET",17,352,2,"MIN",24,305,2,-7,7,41
2000,14,2000-12-03 13:01:00,"DAL",7,266,4,"TB",27,301,1,-20,20,34
2000,14,2000-12-03 13:01:00,"NYG",9,305,3,"WAS",7,290,2,2,2,16
2000,14,2000-12-03 13:01:00,"LV",20,390,2,"PIT",21,311,1,-1,1,41
2000,14,2000-12-03 13:02:00,"ARI",13,340,2,"CIN",24,398,1,-11,11,37
2000,14,2000-12-03 13:02:00,"DEN",38,483,0,"NO",23,446,3,15,15,61
2000,14,2000-12-03 13:02:00,"MIA",33,333,1,"BUF",6,196,3,27,27,39
2000,14,2000-12-03 13:03:00,"TEN",15,331,1,"PHI",13,262,0,2,2,28
2000,14,2000-12-03 13:04:00,"LAR",3,278,7,"CAR",16,237,2,-13,13,19
2000,14,2000-12-03 13:05:00,"SEA",30,335,0,"ATL",10,301,4,20,20,40
2000,14,2000-12-03 16:05:00,"SF",45,385,0,"LAC",17,303,5,28,28,62
2000,14,2000-12-03 16:15:00,"IND",17,375,3,"NYJ",27,491,1,-10,10,44
2000,14,2000-12-03 16:16:00,"CLE",0,53,1,"JAC",48,449,0,-48,48,48
2000,14,2000-12-03 20:35:00,"GB",28,304,0,"CHI",6,330,2,22,22,34
